s:	English
n:	nv	15
n:	ba	15
n:	_da	15
n:	nct	15
n:	pas_	15
n:	pas__	15
n:	_Il_	15
n:	Il_	15
n:	fon	15
n:	xe	15
n:	®re	15
n:	Il___	15
n:	Il__	15
n:	_Il__	15
n:	ise	15
n:	oth	14
n:	_bibl	14
n:	h√	14
n:	iblio	14
n:	ibli	14
n:	th√®	14
n:	bibli	14
n:	®qu	14
n:	ioth	14
n:	√®q	14
n:	bib	14
n:	®que	14
n:	pr√©	14
n:	lioth	14
n:	lles	14
n:	_pas	14
n:	_pas_	14
n:	h√®	14
n:	√©es	14
n:	©es__	14
n:	th√	14
n:	ioth√	14
n:	th√®q	14
n:	®q	14
n:	oth√	14
n:	bliot	14
n:	iot	14
n:	_bib	14
n:	√®que	14
n:	√®qu	14
n:	bibl	14
n:	h√®q	14
n:	blio	14
n:	bli	14
n:	onct	14
n:	lles_	14
n:	dun__	14
n:	eurs_	14
n:	ncti	14
n:	_fon	14
n:	lio	14
n:	oth√®	14
n:	liot	14
n:	©ta	14
n:	√©ta	14
n:	h√®qu	14
n:	imp	14
n:	nctio	14
n:	eurs	14
n:	_dun_	14
n:	pos	14
n:	ables	14
n:	dun_	14
n:	ient	14
n:	fonc	13
n:	sou	13
n:	ogra	13
n:	omme_	13
n:	ible_	13
n:	_T	13
n:	ous	13
n:	_Les_	13
n:	ogr	13
n:	fonct	13
n:	_fonc	13
n:	ram	13
n:	forme	13
n:	oin	13
n:	oc	13
n:	van	13
n:	rit	13
n:	oncti	13
n:	sse	13
n:	rog	13
n:	ut___	13
n:	rr	13
n:	ran	12
n:	cal	12
n:	_E	12
n:	ef	12
n:	mu	12
n:	iab	12
n:	au_	12
n:	au__	12
n:	ria	12
n:	f___	12
n:	tes_	12
n:	tes__	12
n:	tie	12
n:	ins	12
n:	_plu	12
n:	ha	12
n:	_ent	12
n:	ait__	12
n:	f_	12
n:	iable	12
n:	ait_	12
n:	iabl	12
n:	jet__	12
n:	f__	12
n:	f____	12
n:	au___	12
n:	ect	12
n:	plu	12
n:	oss	12
n:	clas	11
n:	ramm	11
n:	_prog	11
n:	vant	11
n:	gramm	11
n:	list	11
n:	point	11
n:	_aux_	11
n:	class	11
n:	pla	11
n:	vari	11
n:	_aux	11
n:	progr	11
n:	poin	11
n:	_√©ta	11
n:	pas	11
n:	_im	11
n:	_ne	11
n:	_ba	11
n:	bas	11
n:	_bas	11
n:	rogr	11
n:	gram	11
n:	aria	11
n:	var	11
n:	ide	11
n:	lass	11
n:	prog	11
n:	_exe	11
n:	oints	11
n:	ea	11
n:	cod	11
n:	varia	11
n:	asse	11
n:	poi	11
n:	ints	11
n:	_sou	11
n:	ari	11
n:	_var	11
n:	ints_	11
n:	_vari	11
n:	rogra	11
n:	oint	11
n:	code	11
n:	las	11
n:	ogram	11
n:	√©tai	10
n:	ais	10
n:	ous__	10
n:	_si	10
n:	ule_	10
n:	ule__	10
n:	c_	10
n:	lasse	10
n:	able_	10
n:	eau	10
n:	mot	10
n:	code_	10
n:	mes	10
n:	nes	10
n:	ous_	10
n:	©tai	10
n:	_as	10
n:	sib	10
n:	dif	9
n:	mes_	9
n:	lt	9
n:	riab	9
n:	rt__	9
n:	rt_	9
n:	ire__	9
n:	out	9
n:	ariab	9
n:	ara	9
n:	utre	9
n:	ins_	9
n:	utr	9
n:	riabl	9
n:	mes__	9
n:	hode_	9
n:	_mot	9
n:	cha	9
n:	or___	9
n:	rt___	9
n:	vant_	8
n:	_n__	8
n:	ntie	8
n:	autr	8
n:	_mots	8
n:	sible	8
n:	mots	8
n:	ept	8
n:	tres_	8
n:	sous	8
n:	_n___	8
n:	_d√©f	8
n:	tres	8
n:	autre	8
n:	dule_	8
n:	_sous	8
n:	_n_	8
n:	sibl	8
n:	ssib	8
n:	ots	8
n:	√©n√	8
n:	_ni	8
n:	d√©f	8
n:	utres	8
n:	rre	7
n:	ens	7
n:	scl	7
n:	matio	7
n:	tier	7
n:	ser	7
n:	ord	7
n:	ssibl	7
n:	_cha	7
n:	ieur	7
n:	nse	7
n:	nd___	7
n:	ense	7
n:	ossib	7
n:	tait	7
n:	_ch	7
n:	nd__	7
n:	tait_	7
n:	odi	7
n:	_Ell	6
n:	bo	6
n:	tscl	6
n:	ntier	6
n:	tsc	6
n:	otscl	6
n:	ig	6
n:	otsc	6
n:	difi	6
n:	odifi	6
n:	modi	6
n:	_or	6
n:	aie	6
n:	its__	6
n:	its	6
n:	tier_	6
n:	©ra	6
n:	motsc	6
n:	©n√©	6
n:	odif	6
n:	_g√©	6
n:	ette	6
n:	modif	6
n:	entie	6
n:	g√©	6
n:	its_	6
n:	_enti	6
n:	√©ra	6
n:	_modi	6
n:	niv	5
n:	resp	5
n:	eig	5
n:	cl√	5
n:	eign	5
n:	nseig	5
n:	ign	5
n:	eau_	5
n:	seign	5
n:	ensei	5
n:	veau_	5
n:	sei	5
n:	vea	5
n:	_str	5
n:	ei	5
n:	ivea	5
n:	_nive	5
n:	dul	5
n:	esp	5
n:	gn	5
n:	nive	5
n:	nsei	5
n:	seig	5
n:	fl	5
s:	Itallian
n:	e_	283
n:	e__	283
n:	e____	283
n:	e___	283
n:	o_	233
n:	o___	233
n:	o____	233
n:	o__	233
n:	a___	231
n:	a__	231
n:	a____	231
n:	a_	231
n:	i_	213
n:	i___	213
n:	i____	213
n:	i__	213
n:	_s	119
n:	ri	112
n:	_a	110
n:	er	101
n:	on	98
n:	_p	97
n:	te	96
n:	_d	96
n:	_c	92
n:	en	89
n:	re	86
n:	ta	82
n:	ra	80
n:	to	79
n:	nt	75
n:	in	75
n:	di	72
n:	io	71
n:	ar	67
n:	pr	65
n:	or	65
n:	an	65
n:	to__	64
n:	to___	64
n:	to_	64
n:	at	62
n:	_i	62
n:	l____	61
n:	re_	61
n:	re__	61
n:	re___	61
n:	l_	61
n:	l___	61
n:	l__	61
n:	ne	59
n:	ti	57
n:	li	55
n:	n_	54
n:	si	54
n:	co	54
n:	n___	54
n:	n____	54
n:	n__	54
n:	po	53
n:	_di	53
n:	no	52
n:	al	51
n:	me	49
n:	la	49
n:	te__	48
n:	te___	48
n:	te_	48
n:	va	48
n:	it	47
n:	st	47
n:	ve	46
n:	de	46
n:	_f	46
n:	di__	46
n:	di___	46
n:	di_	46
n:	_v	45
n:	el	45
n:	ic	45
n:	ne___	45
n:	ne__	45
n:	ne_	45
n:	ro	45
n:	_e	44
n:	_S	44
n:	_l	44
n:	es	43
n:	tt	43
n:	le	42
n:	se	42
n:	so	41
n:	pe	41
n:	pri	40
n:	nte	40
n:	ma	39
n:	_m	39
n:	ion	38
n:	_di__	38
n:	_di_	38
n:	ll	38
n:	no___	38
n:	no__	38
n:	no_	38
n:	is	37
n:	il	37
n:	as	37
n:	_co	36
n:	ent	35
n:	nd	35
n:	av	35
n:	zi	34
n:	_r	34
n:	ci	34
n:	ca	34
n:	ta__	33
n:	ia	33
n:	ta___	33
n:	ta_	33
n:	am	33
n:	ce	33
n:	na	33
n:	ss	33
n:	ch	32
n:	_t	32
n:	vi	32
n:	zio	31
n:	sa	31
n:	tr	31
n:	un	31
n:	_n	30
n:	im	30
n:	do	30
n:	_u	29
n:	ti__	29
n:	one	29
n:	lo	28
n:	ol	28
n:	ti_	28
n:	ti___	28
n:	one__	28
n:	et	28
n:	one_	28
n:	ng	28
n:	zion	27
n:	le___	27
n:	le_	27
n:	le__	27
n:	sc	27
n:	os	27
n:	ato	27
n:	mp	27
n:	va___	26
n:	va_	26
n:	va__	26
n:	su	26
n:	_al	25
n:	pp	25
n:	da	25
n:	ra_	24
n:	ra___	24
n:	ra__	24
n:	la__	24
n:	la___	24
n:	la_	24
n:	_b	24
n:	_pr	24
n:	ione	24
n:	ing	24
n:	ni	24
n:	ione_	24
n:	ot	23
n:	ato__	23
n:	_o	23
n:	ato_	23
n:	_su	23
n:	nte__	23
n:	nte_	23
n:	Sp	22
n:	ava	22
n:	io___	22
n:	io_	22
n:	are	22
n:	_po	22
n:	ett	22
n:	io__	22
n:	prin	22
n:	_Sp	22
n:	om	22
n:	rin	22
n:	he	22
n:	mi	22
n:	pring	21
n:	em	21
n:	pa	21
n:	az	21
n:	azi	21
n:	iv	21
n:	are_	21
n:	are__	21
n:	_so	21
n:	_Spri	21
n:	so_	21
n:	_Spr	21
n:	Spr	21
n:	so__	21
n:	ring	21
n:	Sprin	21
n:	so___	21
n:	rt	21
n:	_in	21
n:	Spri	21
n:	ai__	20
n:	el__	20
n:	azio	20
n:	ai___	20
n:	si_	20
n:	_ri	20
n:	si___	20
n:	ai	20
n:	ai_	20
n:	si__	20
n:	lo_	20
n:	lo___	20
n:	_se	20
n:	lo__	20
n:	ring_	20
n:	el_	20
n:	azion	20
n:	pi	20
n:	el___	20
n:	he_	20
n:	he__	20
n:	he___	20
n:	zione	20
n:	ng_	20
n:	ng__	20
n:	ing_	20
n:	_un	20
n:	g_	20
n:	ing__	20
n:	g____	20
n:	ng___	20
n:	g__	20
n:	g___	20
n:	_il	19
n:	_la	19
n:	_de	19
n:	_ch	19
n:	da___	19
n:	da_	19
n:	da__	19
n:	_pe	19
n:	on___	19
n:	on_	19
n:	on__	19
n:	ap	19
n:	che	19
n:	ica	19
n:	ut	19
n:	ita	18
n:	per	18
n:	ua	18
n:	r____	18
n:	r___	18
n:	r__	18
n:	_st	18
n:	mo	18
n:	r_	18
n:	pl	18
n:	ente	18
n:	lic	18
n:	il_	18
n:	il___	18
n:	il__	18
n:	_il__	18
n:	_il_	18
n:	_h	17
n:	sta	17
n:	_g	17
n:	od	17
n:	pro	17
n:	ns	17
n:	ed	17
n:	ente_	17
n:	_J	17
n:	_ve	17
n:	men	17
n:	che__	17
n:	con	17
n:	ment	17
n:	che_	17
n:	ell	16
n:	del	16
n:	ia_	16
n:	ia__	16
n:	ia___	16
n:	fa	16
n:	ava__	16
n:	ava_	16
n:	sp	16
n:	tat	16
n:	ui	16
n:	ess	16
n:	com	16
n:	d_	16
n:	d____	16
n:	d__	16
n:	d___	16
n:	_fa	15
n:	ano_	15
n:	ano	15
n:	bi	15
n:	ano__	15
n:	fi	15
n:	_app	15
n:	ame	15
n:	tan	15
n:	_com	15
n:	pli	15
n:	be	15
n:	_ap	15
n:	app	15
n:	ter	15
n:	ma___	14
n:	ma_	14
n:	bb	14
n:	ma__	14
n:	ba	14
n:	u_	14
n:	u____	14
n:	u__	14
n:	ie	14
n:	ha	14
n:	ram	14
n:	ni_	14
n:	se___	14
n:	ni__	14
n:	ni___	14
n:	_E	14
n:	int	14
n:	gi	14
n:	se__	14
n:	ere	14
n:	all	14
n:	ven	14
n:	og	13
n:	_Jav	13
n:	ib	13
n:	Ja	13
n:	un___	13
n:	ev	13
n:	_pro	13
n:	_Java	13
n:	ndo	13
n:	tti	13
n:	_ha	13
n:	do___	13
n:	and	13
n:	gr	13
n:	do__	13
n:	Java	13
n:	lica	13
n:	_all	13
n:	ere__	13
n:	ist	13
n:	ere_	13
n:	un__	13
n:	un_	13
n:	end	13
n:	ant	13
n:	_e__	13
n:	lt	13
n:	plic	13
n:	op	13
n:	_Ja	13
n:	Jav	13
n:	_e___	13
n:	_e_	13
n:	ima	13
n:	ppli	12
n:	caz	12
n:	cazi	12
n:	ort	12
n:	ur	12
n:	t___	12
n:	up	12
n:	qu	12
n:	oni	12
n:	sa___	12
n:	u___	12
n:	sa_	12
n:	sa__	12
n:	ir	12
n:	ge	12
n:	_D	12
n:	eb	12
n:	t____	12
n:	icaz	12
n:	t__	12
n:	_es	12
n:	al__	12
n:	rim	12
n:	al_	12
n:	licaz	12
n:	al___	12
n:	_da	12
n:	_con	12
n:	ppl	12
n:	icazi	12
n:	ari	12
n:	rit	12
n:	_del	12
n:	cazio	12
n:	t_	12
n:	_ha_	11
n:	cu	11
n:	in__	11
n:	nc	11
n:	Java_	11
n:	plica	11
n:	gra	11
n:	_ha__	11
n:	ha___	11
n:	___	11
n:	ha__	11
n:	ha_	11
n:	ad	11
n:	hi	11
n:	_sta	11
n:	_per	11
n:	vo	11
n:	appli	11
n:	cr	11
n:	pplic	11
n:	po___	11
n:	po__	11
n:	str	11
n:	appl	11
n:	____	11
n:	_appl	11
n:	po_	11
n:	__	11
n:	_che_	11
n:	_____	11
n:	_im	11
n:	_un_	11
n:	_un__	11
n:	li__	11
n:	li_	11
n:	_che	11
n:	li___	11
n:	bas	11
n:	rn	10
n:	inte	10
n:	in___	10
n:	_da_	10
n:	_q	10
n:	me__	10
n:	_an	10
n:	√®__	10
n:	in_	10
n:	chi	10
n:	_mo	10
n:	ita_	10
n:	me_	10
n:	_vi	10
n:	me___	10
n:	era	10
n:	lla	10
n:	rr	10
n:	ag	10
n:	®__	10
n:	_qu	10
n:	ue	10
n:	®___	10
n:	port	10
n:	ce___	10
n:	ce_	10
n:	ce__	10
n:	®_	10
n:	®____	10
n:	ssi	10
n:	nter	10
n:	√®___	10
n:	_da__	10
n:	oni_	10
n:	_si	10
n:	rm	10
n:	tto	10
n:	ati	10
n:	oni__	10
n:	√®_	10
n:	_imp	10
n:	imp	10
n:	fr	10
n:	√®	10
n:	por	10
n:	†____	9
n:	√†	9
n:	prim	9
n:	dell	9
n:	√†__	9
n:	upp	9
n:	t√†__	9
n:	_√®_	9
n:	ec	9
n:	†_	9
n:	vano	9
n:	er___	9
n:	er__	9
n:	cia	9
n:	ri_	9
n:	ri___	9
n:	ri__	9
n:	er_	9
n:	ser	9
n:	ono	9
n:	_A	9
n:	um	9
n:	ro_	9
n:	t√	9
n:	_R	9
n:	_ma	9
n:	llo	9
n:	ioni	9
n:	_la_	9
n:	_C	9
n:	cre	9
n:	√†___	9
n:	t√†	9
n:	ero	9
n:	ul	9
n:	ro___	9
n:	_√®	9
n:	ver	9
n:	ro__	9
n:	_√®__	9
n:	t√†_	9
n:	rima	9
n:	_pri	9
n:	sse	9
n:	nde	9
n:	iu	9
n:	_√	9
n:	†__	9
n:	†___	9
n:	√†_	9
n:	emp	9
n:	mer	8
n:	ioni_	8
n:	rog	8
n:	_L	8
n:	ben	8
n:	ima_	8
n:	anc	8
n:	hi___	8
n:	_or	8
n:	tta	8
n:	_ad	8
n:	tem	8
n:	hi__	8
n:	hi_	8
n:	nu	8
n:	ella	8
n:	sci	8
n:	ott	8
n:	nz	8
n:	br	8
n:	ru	8
n:	rame	8
n:	_bas	8
n:	_fr	8
n:	uto_	8
n:	lla_	8
n:	tant	8
n:	ima__	8
n:	_ne	8
n:	_pi	8
n:	_cr	8
n:	_in_	8
n:	lar	8
n:	uit	8
n:	_par	8
n:	mpo	8
n:	_w	8
n:	_prim	8
n:	fra	8
n:	_fra	8
n:	_int	8
n:	ate	8
n:	nn	8
n:	it√†	7
n:	_we	7
n:	k___	7
n:	b__	7
n:	_la__	7
n:	_cre	7
n:	_web	7
n:	ramew	7
n:	rk	7
n:	rk__	7
n:	eg	7
n:	ew	7
n:	amewo	7
n:	b___	7
n:	b____	7
n:	b_	7
n:	rta	7
n:	it√†_	7
n:	ork_	7
n:	porta	7
n:	gn	7
n:	chi__	7
n:	na___	7
n:	chi_	7
n:	ab	7
n:	_ser	7
n:	ando	7
n:	ens	7
n:	_mod	7
n:	eb_	7
n:	k__	7
n:	tri	7
n:	mewor	7
n:	gg	7
n:	web	7
n:	mew	7
n:	tto_	7
n:	ea	7
n:	mu	7
n:	_be	7
n:	mm	7
n:	_prog	7
n:	k_	7
n:	amew	7
n:	ert	7
n:	asa	7
n:	att	7
n:	ework	7
n:	tti__	7
n:	_in__	7
n:	work_	7
n:	tti_	7
n:	lu	7
n:	etti_	7
n:	prog	7
n:	web__	7
n:	lli	7
n:	ale_	7
n:	we	7
n:	ste	7
n:	frame	7
n:	una	7
n:	fram	7
n:	_web_	7
n:	web_	7
n:	ran	7
n:	ork__	7
n:	wo	7
n:	iva	7
n:	rk_	7
n:	ewo	7
n:	_fram	7
n:	orta	7
n:	rk___	7
n:	eb__	7
n:	zioni	7
n:	ork	7
n:	k____	7
n:	eb___	7
n:	rv	7
n:	etti	7
n:	_ba	7
n:	mewo	7
n:	ore_	7
n:	wor	7
n:	work	7
n:	ewor	7
n:	ntr	6
n:	_qua	6
n:	prima	6
n:	ob	6
n:	amm	6
n:	ond	6
n:	mente	6
n:	lle_	6
n:	se_	6
n:	sso_	6
n:	sso__	6
n:	ono_	6
n:	za___	6
n:	za	6
n:	_te	6
n:	spe	6
n:	za_	6
n:	za__	6
n:	_P	6
n:	_chi	6
n:	pre	6
n:	est	6
n:	eva	6
n:	mod	6
n:	ina	6
n:	abb	6
n:	rl	6
n:	_pa	6
n:	_una	6
n:	_cu	6
n:	dis	6
n:	_al__	6
n:	res	6
n:	llo__	6
n:	basat	6
n:	_impo	6
n:	llo_	6
n:	_basa	6
n:	sat	6
n:	basa	6
n:	_ven	6
n:	impo	6
n:	_al_	6
n:	for	6
n:	oo	6
n:	du	6
n:	ume	6
n:	lin	6
n:	ga	6
n:	esse	6
n:	tato	6
n:	rib	6
n:	rima_	6
n:	_dis	6
n:	ate_	6
n:	nsi	6
n:	sto	6
n:	mar	6
n:	asat	6
n:	sso	6
n:	strib	5
n:	istri	5
n:	stri	5
n:	rc	5
n:	rtan	5
n:	ua_	5
n:	s____	5
n:	_del_	5
n:	bu	5
n:	ppo	5
n:	gett	5
n:	ore	5
n:	roget	5
n:	della	5
n:	amma	5
n:	ass	5
n:	tribu	5
n:	_a__	5
n:	mma	5
n:	_le__	5
n:	ost	5
n:	rla	5
n:	per_	5
n:	per__	5
n:	_per_	5
n:	arl	5
n:	na_	5
n:	na__	5
n:	ede	5
n:	nto	5
n:	ita__	5
n:	odo	5
n:	ortan	5
n:	trib	5
n:	esso_	5
n:	ore__	5
n:	gli__	5
n:	uale	5
n:	ua__	5
n:	ende	5
n:	s___	5
n:	ci__	5
n:	ci_	5
n:	_qual	5
n:	ibu	5
n:	impor	5
n:	crea	5
n:	_De	5
n:	roge	5
n:	_av	5
n:	_so__	5
n:	_so_	5
n:	endo	5
n:	tato_	5
n:	del__	5
n:	De	5
n:	mpor	5
n:	esso	5
n:	_a___	5
n:	_dist	5
n:	tu	5
n:	istr	5
n:	distr	5
n:	ual	5
n:	dist	5
n:	qual	5
n:	proge	5
n:	tto__	5
n:	del_	5
n:	ua___	5
n:	_B	5
n:	rea	5
n:	s_	5
n:	_crea	5
n:	ale	5
n:	fo	5
n:	ave	5
n:	mport	5
n:	sco	5
n:	oge	5
n:	get	5
n:	ribu	5
n:	oget	5
n:	_li	5
n:	ci___	5
n:	s__	5
n:	uale_	5
n:	rve	5
n:	vi_	5
n:	ensi	5
n:	_nel	5
n:	_nel_	5
n:	vi__	5
n:	vi___	5
n:	nel__	5
n:	nel	5
n:	nti_	5
n:	nti__	5
n:	nel_	5
n:	qua	5
n:	_sa	4
n:	tru	4
n:	_Boot	4
n:	_Boo	4
n:	Boot	4
n:	con__	4
n:	ern	4
n:	odel	4
n:	One	4
n:	ltr	4
n:	mode	4
n:	mpr	4
n:	y____	4
n:	mazio	4
n:	bl	4
n:	odo__	4
n:	odo_	4
n:	arla	4
n:	_nu	4
n:	rtant	4
n:	uz	4
n:	con_	4
n:	uzi	4
n:	_am	4
n:	Boot_	4
n:	Bo	4
n:	stru	4
n:	tern	4
n:	ot__	4
n:	_te__	4
n:	uzion	4
n:	quale	4
n:	Boo	4
n:	gam	4
n:	_pot	4
n:	pot	4
n:	uto	4
n:	uto__	4
n:	ros	4
n:	_Bo	4
n:	sion	4
n:	esser	4
n:	etto	4
n:	sio	4
n:	On	4
n:	ub	4
n:	sser	4
n:	_sp	4
n:	poss	4
n:	ebb	4
n:	ot___	4
n:	oot__	4
n:	ion__	4
n:	tic	4
n:	uni	4
n:	oot_	4
n:	uzio	4
n:	ion_	4
n:	y__	4
n:	ot_	4
n:	_con_	4
n:	mazi	4
n:	_tu	4
n:	ale__	4
n:	uppo	4
n:	ori	4
n:	oot	4
n:	llin	4
n:	cy_	3
n:	erve	3
n:	omu	3
n:	svilu	3
n:	comu	3
n:	ific	3
n:	enne_	3
n:	comun	3
n:	fic	3
n:	E___	3
n:	_svil	3
n:	ilup	3
n:	sere_	3
n:	cons	3
n:	ibui	3
n:	rver	3
n:	uppo_	3
n:	nne	3
n:	venn	3
n:	ello_	3
n:	tio	3
n:	ribui	3
n:	serve	3
n:	ppo_	3
n:	_cos	3
n:	bui	3
n:	buit	3
n:	sv	3
n:	E____	3
n:	cy___	3
n:	ilupp	3
n:	EE___	3
n:	dott	3
n:	_comu	3
n:	mun	3
n:	ammaz	3
n:	gramm	3
n:	otta	3
n:	ca___	3
n:	vilu	3
n:	muni	3
n:	_EE__	3
n:	gram	3
n:	cy	3
n:	ris	3
n:	svil	3
n:	ogra	3
n:	_EE_	3
n:	_lib	3
n:	EE_	3
n:	omun	3
n:	erv	3
n:	_EE	3
n:	rogra	3
n:	serv	3
n:	luppo	3
n:	mpre	3
n:	omuni	3
n:	ali	3
n:	E_	3
n:	enne	3
n:	tion_	3
n:	vilup	3
n:	enn	3
n:	ons	3
n:	EE	3
n:	fl	3
n:	ramma	3
n:	_cons	3
n:	EE__	3
n:	_svi	3
n:	_serv	3
n:	lib	3
n:	lup	3
n:	ura	3
n:	_sv	3
n:	lupp	3
n:	eva__	3
n:	vil	3
n:	svi	3
n:	erver	3
n:	_venn	3
n:	E__	3
n:	ilu	3
n:	ramm	3
n:	tion	3
n:	mmazi	3
n:	mmaz	3
n:	ppo__	3
n:	rogr	3
n:	eva_	3
n:	pi__	3
n:	venne	3
s:	Span
n:	a____	387
n:	a___	387
n:	a_	387
n:	a__	387
n:	o___	373
n:	o_	373
n:	o____	373
n:	o__	373
n:	s__	271
n:	s____	271
n:	s_	271
n:	s___	271
n:	e__	190
n:	e____	190
n:	e___	190
n:	e_	190
n:	n_	175
n:	n__	175
n:	n____	175
n:	n___	175
n:	en	165
n:	an	162
n:	es	157
n:	_e	152
n:	as	142
n:	_s	140
n:	_p	138
n:	do	135
n:	os	134
n:	er	133
n:	_a	131
n:	ra	128
n:	re	125
n:	_m	122
n:	ar	118
n:	_c	109
n:	r____	108
n:	r___	108
n:	r_	108
n:	r__	108
n:	ta	105
n:	ma	104
n:	_d	103
n:	ad	103
n:	on	102
n:	ia	98
n:	te	95
n:	nt	95
n:	_t	95
n:	al	93
n:	as__	91
n:	as___	91
n:	as_	91
n:	os__	90
n:	os___	90
n:	os_	90
n:	ab	88
n:	_l	86
n:	ba	85
n:	or	83
n:	da	82
n:	l__	79
n:	l_	79
n:	l____	79
n:	l___	79
n:	do_	77
n:	do__	77
n:	do___	77
n:	la	77
n:	ro	75
n:	ri	75
n:	no	72
n:	ca	72
n:	co	70
n:	es_	70
n:	es__	70
n:	es___	70
n:	se	70
n:	io	70
n:	de	67
n:	ci	67
n:	an_	66
n:	an___	66
n:	an__	66
n:	to	66
n:	sa	65
n:	di	65
n:	le	64
n:	si	64
n:	so	63
n:	aba	63
n:	_r	61
n:	st	61
n:	i____	60
n:	i_	60
n:	i__	60
n:	i___	60
n:	in	59
n:	_h	57
n:	_ma	57
n:	na	57
n:	pa	56
n:	nd	56
n:	on___	56
n:	on__	56
n:	on_	56
n:	lo	55
n:	ia__	53
n:	ia_	53
n:	ti	53
n:	ie	53
n:	ia___	53
n:	no___	49
n:	ue	49
n:	no__	49
n:	no_	49
n:	_f	48
n:	el	48
n:	_es	48
n:	is	47
n:	_co	47
n:	ha	47
n:	ba__	47
n:	ba_	47
n:	ba___	47
n:	po	46
n:	_n	46
n:	ce	46
n:	id	46
n:	_o	45
n:	nte	45
n:	ado	45
n:	un	44
n:	tr	44
n:	ent	44
n:	_v	43
n:	me	43
n:	_i	43
n:	ac	42
n:	ec	41
n:	_pa	40
n:	_se	39
n:	ol	39
n:	da__	38
n:	io_	38
n:	io___	38
n:	io__	38
n:	_de	38
n:	_re	38
n:	al___	38
n:	al_	38
n:	al__	38
n:	pr	38
n:	da_	38
n:	da___	38
n:	aba_	37
n:	nc	37
n:	mo	37
n:	ll	37
n:	aba__	37
n:	_en	36
n:	y__	36
n:	te__	36
n:	y_	36
n:	te_	36
n:	y____	36
n:	te___	36
n:	y___	36
n:	ra___	35
n:	ra_	35
n:	ra__	35
n:	ro__	35
n:	ro_	35
n:	ro___	35
n:	ch	35
n:	or__	34
n:	or_	34
n:	or___	34
n:	ir	34
n:	ar__	34
n:	ar___	34
n:	ic	34
n:	su	34
n:	la_	33
n:	ni	33
n:	_ha	33
n:	la__	33
n:	la___	33
n:	ar_	33
n:	am	33
n:	_si	32
n:	ga	32
n:	vi	32
n:	_g	31
n:	se__	31
n:	se_	31
n:	se___	31
n:	_A	31
n:	va	31
n:	_no	31
n:	so_	31
n:	so__	31
n:	so___	31
n:	qu	31
n:	ma__	31
n:	ma_	31
n:	ma___	31
n:	_po	31
n:	to_	30
n:	to___	30
n:	to__	30
n:	_di	30
n:	li	30
n:	_pr	30
n:	_su	29
n:	mi	29
n:	sa___	29
n:	sa_	29
n:	sa__	29
n:	ant	29
n:	ed	28
n:	ndo	28
n:	era	28
n:	con	27
n:	cu	27
n:	ado_	27
n:	ado__	27
n:	_b	27
n:	ada	27
n:	and	27
n:	il	26
n:	ve	26
n:	_E	26
n:	est	26
n:	ur	26
n:	it	26
n:	pi	26
n:	sta	25
n:	sc	25
n:	ig	25
n:	lo___	25
n:	nte__	25
n:	nte_	25
n:	lo_	25
n:	fi	25
n:	lo__	25
n:	_so	25
n:	oc	25
n:	ada__	25
n:	eg	25
n:	ada_	25
n:	na_	24
n:	z__	24
n:	z_	24
n:	na___	24
n:	na__	24
n:	z___	24
n:	z____	24
n:	_ta	24
n:	el_	24
n:	el___	24
n:	_el	24
n:	el__	24
n:	pe	24
n:	pre	24
n:	rec	24
n:	bi	24
n:	et	24
n:	le__	23
n:	ian	23
n:	si_	23
n:	_ca	23
n:	dos	23
n:	si___	23
n:	si__	23
n:	ban	23
n:	lu	23
n:	res	22
n:	ib	22
n:	ente	22
n:	le_	22
n:	ns	22
n:	_u	22
n:	_un	22
n:	le___	22
n:	im	22
n:	ne	22
n:	_no_	22
n:	ex	22
n:	_no__	22
n:	ui	21
n:	osa	21
n:	d__	21
n:	d_	21
n:	d___	21
n:	d____	21
n:	ban_	21
n:	_M	21
n:	_ti	21
n:	ban__	21
n:	h___	21
n:	rr	21
n:	_ex	21
n:	aban_	21
n:	aban	21
n:	ap	21
n:	br	21
n:	rt	20
n:	tan	20
n:	ndo__	20
n:	tu	20
n:	_con	20
n:	ras	20
n:	enc	20
n:	hi	20
n:	tra	20
n:	_C	20
n:	at	20
n:	om	20
n:	_la	20
n:	ando	20
n:	ido	20
n:	cia	19
n:	fe	19
n:	us	19
n:	_el__	19
n:	ay	19
n:	_el_	19
n:	en_	18
n:	_lo	18
n:	en___	18
n:	ndo_	18
n:	gu	18
n:	dos__	18
n:	dos_	18
n:	_me	18
n:	que	18
n:	en__	18
n:	ua	18
n:	tes	18
n:	u___	18
n:	u_	18
n:	u__	18
n:	u____	18
n:	gr	18
n:	h_	18
n:	h____	18
n:	ca_	18
n:	_te	18
n:	h__	18
n:	mp	18
n:	av	18
n:	_do	18
n:	hi___	18
n:	hi_	18
n:	ca___	18
n:	ir___	18
n:	los	18
n:	ca__	18
n:	ion	18
n:	hi__	18
n:	ir_	18
n:	ir__	18
n:	end	17
n:	_le	17
n:	ta___	17
n:	tes_	17
n:	_ac	17
n:	re__	17
n:	ud	17
n:	ta__	17
n:	tes__	17
n:	ta_	17
n:	vo	17
n:	ien	17
n:	los__	17
n:	re_	17
n:	go	17
n:	_pre	17
n:	ion_	17
n:	los_	17
n:	dad	17
n:	_mi	17
n:	ion__	17
n:	re___	17
n:	em	17
n:	un__	16
n:	ran	16
n:	pu	16
n:	za	16
n:	_si__	16
